batter_name
Jon Duplantier
Jordan Luplow
Dominic Fletcher
Kevin Cron
Ildemaro Vargas
Humberto Castellanos
Yonny Hernández
Sergio Alcántara
Joc Pederson
Tyler Gilbert
Jon Jay
Merrill Kelly
Riley Smith
Corbin Martin
Jose Herrera
Jake Lamb
Garrett Hampson
Domingo Leyba
Jake Hager
Bryan Holaday
Kevin Newman
Corbin Carroll
Taylor Clarke
Lourdes Gurriel Jr.
Ryne Nelson
Aramis Garcia
Drew Ellis
Adrian Del Castillo
Tucker Barnhart
Nick Heath
Josh Rojas
Dominic Canzone
Tyler Locklear
David Peralta
Daulton Varsho
Emmanuel Rivera
Gabriel Moreno
Tim Locastro
Andrew Young
Asdrúbal Cabrera
Henry Ramos
Luke Weaver
Stephen Vogt
Pavin Smith
Tim Tawa
Zac Gallen
Wyatt Mathisen
Geraldo Perdomo
Alek Thomas
Tristin English
Josh Bell
Eduardo Escobar
Randal Grichuk
Christian Walker
Grayson Greiner
Taylor Widener
Seth Frankoff
Buddy Kennedy
Evan Longoria
Jorge Barrosa
Seth Beer
Luis Guillorme
Jake McCarthy
Jordan Lawlar
Madison Bumgarner
Josh VanMeter
Kyle Lewis
Blaze Alexander
Josh Reddick
Seby Zavala
Stone Garrett
Jace Peterson
Matt Peacock
Matt Davidson
Connor Kaiser
Diego Castillo
Ketel Marte
Cooper Hummel
Humberto Mejía
Alex Young
James McCann
Wilmer Difo
Josh Naylor
Caleb Smith
Tommy Pham
Carson Kelly
Stuart Fairchild
Kole Calhoun
Nick Ahmed
Eugenio Suárez
Starling Marte
Jake Faria
Scott McGough
