batter_name,mlbam_id,matched_name,match_score,team,position,bats,throws,height,weight,birth_date,age,bio,headshot_url
Jon Duplantier,641541,Jon Duplantier,1.200,Milwaukee Brewers,Pitcher,L,R,"6' 4""",229,1994-07-11,31,Jon Duplantier • Pitcher • Bats Left / Throws Right • Milwaukee Brewers,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/641541/headshot/silo/current"
Jordan Luplow,656669,Jordan Luplow,1.200,Tecos de los Dos Laredos,Outfielder,R,R,"5' 11""",195,1993-09-26,32,Jordan Luplow • Outfielder • Bats Right / Throws Right • Tecos de los Dos Laredos,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/656669/headshot/silo/current"
Dominic Fletcher,666150,Dominic Fletcher,1.200,Pittsburgh Pirates,Outfielder,L,L,"5' 8""",185,1997-09-02,28,Dominic Fletcher • Outfielder • Bats Left / Throws Left • Pittsburgh Pirates,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/666150/headshot/silo/current"
Kevin Cron,605196,Kevin Cron,1.200,Las Vegas Aviators,First Base,R,R,"6' 4""",255,1993-02-17,32,Kevin Cron • First Base • Bats Right / Throws Right • Las Vegas Aviators,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/605196/headshot/silo/current"
Ildemaro Vargas,545121,Ildemaro Vargas,1.200,Cardenales de Lara,Second Base,S,R,"5' 11""",202,1991-07-16,34,Ildemaro Vargas • Second Base • Bats Switch / Throws Right • Cardenales de Lara,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/545121/headshot/silo/current"
Humberto Castellanos,528748,Humberto Castellanos,1.200,Reno Aces,Pitcher,R,R,"5' 11""",222,1998-04-03,27,Humberto Castellanos • Pitcher • Bats Right / Throws Right • Reno Aces,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/528748/headshot/silo/current"
Yonny Hernández,660634,Yonny Hernández,1.200,Cardenales de Lara,Shortstop,S,R,"5' 8""",140,1998-05-04,27,Yonny Hernández • Shortstop • Bats Switch / Throws Right • Cardenales de Lara,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/660634/headshot/silo/current"
Sergio Alcántara,642727,Sergio Alcántara,1.200,Toros del Este,Shortstop,S,R,"5' 10""",177,1996-07-10,29,Sergio Alcántara • Shortstop • Bats Switch / Throws Right • Toros del Este,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/642727/headshot/silo/current"
Joc Pederson,592626,Joc Pederson,1.200,Texas Rangers,First Base,L,L,"6' 1""",220,1992-04-21,33,Joc Pederson • First Base • Bats Left / Throws Left • Texas Rangers,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/592626/headshot/silo/current"
Tyler Gilbert,656457,Tyler Gilbert,1.200,Chicago White Sox,Pitcher,L,L,"6' 3""",225,1993-12-22,32,Tyler Gilbert • Pitcher • Bats Left / Throws Left • Chicago White Sox,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/656457/headshot/silo/current"
Jon Jay,445055,Jon Jay,1.200,Salt Lake Bees,Outfielder,L,L,"5' 11""",200,1985-03-15,40,Jon Jay • Outfielder • Bats Left / Throws Left • Salt Lake Bees,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/445055/headshot/silo/current"
Merrill Kelly,518876,Merrill Kelly,1.200,Arizona Diamondbacks,Pitcher,R,R,"6' 2""",202,1988-10-14,37,Merrill Kelly • Pitcher • Bats Right / Throws Right • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/518876/headshot/silo/current"
Riley Smith,642092,Riley Smith,1.200,Columbus Clippers,Pitcher,R,R,"6' 1""",207,1995-01-15,30,Riley Smith • Pitcher • Bats Right / Throws Right • Columbus Clippers,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/642092/headshot/silo/current"
Corbin Martin,656686,Corbin Martin,1.200,Norfolk Tides,Pitcher,R,R,"6' 2""",225,1995-12-28,30,Corbin Martin • Pitcher • Bats Right / Throws Right • Norfolk Tides,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/656686/headshot/silo/current"
Jose Herrera,645444,Jose Herrera,1.200,Round Rock Express,Catcher,S,R,"5' 9""",217,1997-02-24,28,Jose Herrera • Catcher • Bats Switch / Throws Right • Round Rock Express,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/645444/headshot/silo/current"
Jake Lamb,571875,Jake Lamb,1.200,Sacramento River Cats,First Base,L,R,"6' 3""",220,1990-10-09,35,Jake Lamb • First Base • Bats Left / Throws Right • Sacramento River Cats,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/571875/headshot/silo/current"
Garrett Hampson,641658,Garrett Hampson,1.200,St. Louis Cardinals,Second Base,R,R,"5' 10""",196,1994-10-10,31,Garrett Hampson • Second Base • Bats Right / Throws Right • St. Louis Cardinals,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/641658/headshot/silo/current"
Domingo Leyba,642736,Domingo Leyba,1.200,Yaquis de Obregon,Shortstop,S,R,"5' 8""",205,1995-09-11,30,Domingo Leyba • Shortstop • Bats Switch / Throws Right • Yaquis de Obregon,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/642736/headshot/silo/current"
Jake Hager,606993,Jake Hager,1.200,Iowa Cubs,Second Base,R,R,"6' 1""",170,1993-03-04,32,Jake Hager • Second Base • Bats Right / Throws Right • Iowa Cubs,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/606993/headshot/silo/current"
Bryan Holaday,592407,Bryan Holaday,1.200,Arizona Diamondbacks,Catcher,R,R,"6' 0""",203,1987-11-19,38,Bryan Holaday • Catcher • Bats Right / Throws Right • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/592407/headshot/silo/current"
Kevin Newman,621028,Kevin Newman,1.200,Omaha Storm Chasers,Third Base,R,R,"6' 1""",195,1993-08-04,32,Kevin Newman • Third Base • Bats Right / Throws Right • Omaha Storm Chasers,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/621028/headshot/silo/current"
Corbin Carroll,682998,Corbin Carroll,1.200,Arizona Diamondbacks,Outfielder,L,L,"5' 10""",165,2000-08-21,25,Corbin Carroll • Outfielder • Bats Left / Throws Left • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/682998/headshot/silo/current"
Taylor Clarke,664199,Taylor Clarke,1.200,Kansas City Royals,Pitcher,R,R,"6' 4""",210,1993-05-13,32,Taylor Clarke • Pitcher • Bats Right / Throws Right • Kansas City Royals,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/664199/headshot/silo/current"
